Level	Department Name	Area Name	AHU Label	Location	Type	device_id	Remark	Class
L01	Enginering Services	Engineering Services	AHU-L1-ES-01	AHU Room	1	e0101		ES T1
L01	Biomedical Engineering Services Unit	Biomedical Engineering Services Unit	AHU-L1-BES-01	AHU Room	1	e0102		BESU T1
L01	Mortuary Services	Mortuary Services	AHU-L1-MO-01	AHU Room	1	e0103		MS T1
L01	Housekeeping Services	Housekeeping Services	AHU-L1-HS-01	AHU Room	1	e0104		HS T1
L01	Catering & Dietitics Department	Catering - Dietitics Department 1 - Main Kitchen	AHU-L1-CA-02	AHU Room	1	e0105		C&DD T1
L01	Catering & Dietitics Department	Catering - Dietitics Department 1 - Main Kitchen	AHU-L1-CA-01	AHU Room	1	e0106		C&DD T1
L01	Medical Store	Medical Store	AHU-L1-MS-02	AHU Room	5	e0107		MS T5
L01	Medical Store	Medical Store	AHU-L1-MS-01	AHU Room	5	e0108		MS T5
L01	Security Services	Security Services	AHU-L1-SS/T-01	AHU Room	1	e0109		SS T1
L01	Emergency Department	Emergency Department 9 - Labour and Delivery (PAC)	AHU-L1-PAC-01	AHU Room	1	e0110		ED9 T1
L01	Emergency Department	Emergency Department 6 - Obstetrics and Gynaecology (One Stop Crisis Centre)	AHU-L1-OSCC-01	AHU Room	1	e0111		ED6 T1
L01	Emergency Department	Emergency Department 1 - General Area	AHU-L1-ED-03	AHU Room	3	e0112		ED1 T3
L01	Emergency Department	Emergency Department 1 - General Area	AHU-L1-ED-04	AHU Room	3	e0113		ED1 T4
L01	Emergency Department	Emergency Department 1 - General Area	AHU-L1-ED-02	AHU Room	3	e0114		ED1 T5
L01	Imaging Department	Imaging Department	AHU-L1-ID-04	AHU Room	3	e0115		ID T3
L01	Emergency Department	Emergency Department 1 - General Area	AHU-L1-ED-01	AHU Room	3	e0116		ED1 T6
L01	Shared Facilities 1	Shared Facilities 1 - 1 - General	AHU-L1-SF-01	AHU Room	1	e0117		SF1 T1
L01	Imaging Department	Imaging Department	AHU-L1-ID-03	AHU Room	3	e0118		ID T3
L01	Imaging Department	Imaging Department	AHU-L1-ID-02	AHU Room	3	e0120		ID T3
L01	Imaging Department	Imaging Department	AHU-L1-ID-01	AHU Room	4	e0121		ID T4
L02	Child Development Centre	Child Development Centre 2 - Physiotheraphy	AHU-L2-CDC-03	AHU Room	2	e0201		CDC T2
L02	Child Development Centre	Child Development Centre 2 - Physiotheraphy	AHU-L2-CDC-01	AHU Room	2	e0202		CDC T3
L02	Child Development Centre	Child Development Centre 2 - Physiotheraphy	AHU-L2-CDC-04	AHU Room	2	e0203		CDC T4
L02	Child Development Centre	Child Development Centre 2 - Physiotheraphy	AHU-L2-CDC-02	AHU Room	2	e0204		CDC T5
L02	Child Development Centre	Child Development Centre 2 - Physiotheraphy	AHU-L2-CDC-05	AHU Room	2	e0205		CDC T6
L02	Cafeteria	Cafeteria	AHU-L2-CF-01	AHU Room	1	e0206		C T1
L02	Medical Social Services	Medical Social Services	AHU-L2-MSS-01	AHU Room	1	e0207		MSS T1
L02	Outpatient Pharmacy	Outpatient Pharmacy	AHU-L2-OP-01	AHU Room	2	e0208		OP T2
L02	Admission Revenue	Admission Revenue	AHU-L2-AR-01	AHU Room	1	e0209		AR T1
L03	Post Graduate Medical Centre and Continuous Medical Education 	Post Graduate Medical Centre and Continuous Medical Education	AHU-L3-PGMC-02	AHU Room	1	e0210		PGMCCME T1
L03	Post Graduate Medical Centre and Continuous Medical Education 	Post Graduate Medical Centre and Continuous Medical Education	AHU-L3-PGMC-01	AHU Room	1	e0211		PGMCCME T1
L01	Emergency Department	Emergency Department 10 - Paediatric Emergency Unit (Day Care)	AHU-L1-OT-01	AHU Room	14	e0212		ED10 T14
L02	Women Health Unit	Women Health Unit	AHU-L2-WHU-01	AHU Room	21	e0213		WHU T21
L02	Women Health Unit	Women Health Unit	AHU-L2-WHU-02	AHU Room	21	e0214		WHU T21
L02	O&G Specialist Clinic	O&G Specialist Clinic	AHU-L2-SPG-04	AHU Room	3	e0215		OGSC T3
L02	O&G Specialist Clinic	O&G Specialist Clinic	AHU-L2-SPG-03	AHU Room	3	e0216		OGSC T3
L02	O&G Specialist Clinic	O&G Specialist Clinic	AHU-L2-SPG-02	AHU Room	3	e0217		OGSC T3
L02	O&G Specialist Clinic	O&G Specialist Clinic	AHU-L2-SPG-01	AHU Room	3	e0218		OGSC T3
L03	Pathology Department	Pathology Department 1 - Transfusion Medicine Laboratory (Blood Bank)	AHU-L3-PT-04 (Admin)	AHU Room	1	e0301		PD1 T1
L03	Pathology Department	Pathology Department 1 - Transfusion Medicine Laboratory (Blood Bank)	AHU-L3-PT-03 (Microb)	AHU Room	10	e0303		PD1 T10
L03	RQA Unit	RQA Unit	AHU-L3-RQA/HEU-01	AHU Room	1	e0304		RQAU T1
L03	Dental Clinic	Dental Clinic	AHU-L3-SPD-02	AHU Room	1	e0306		DC T1
L03	Shared Facilities 3	Shared Facilities 3	AHU-L3-SF-01	AHU Room	1	e0307		SF3 T1
L03	Paediatric Specialist Clinic	Paediatric Specialist Clinic 1 - Main	AHU-L3-SPP-03	AHU Room	1	e0308		PSC1 T1
L03	Paediatric Specialist Clinic	Paediatric Specialist Clinic 1 - Main	AHU-L3-SPP-01	AHU Room	1	e0311		PSC1 T1
L03	Paediatric Specialist Clinic	Paediatric Specialist Clinic 1 - Main	AHU-L3-SPP-02	AHU Room	1	e0312		PSC1 T1
L03	Dental Clinic	Dental Clinic	AHU-L3-SPD-01	AHU Room	1	e0313		DC T1
L03	Paediatric Specialist Clinic	Paediatric Specialist Clinic 1 - Main	AHU-L3-CPC-01	AHU Room	1	e0314		PSC1 T1
L03	Dental Clinic	Dental Clinic	AHU-L3-SPD-03	AHU Room	7	e0315		DC T7
L03	Pathology Department	Pathology Department 5 - Administrative and Shared Facilities	AHU-L3-PT-02	AHU Room	9	e0401		PD5 T9
L03	Pathology Department	Pathology Department 5 - Administrative and Shared Facilities	AHU-L3-PT-01 	AHU Room	9	e0402		PD5 T9
L04	Milk Preparation 1	Milk Preparation 1	AHU-L4-MK-01	AHU Room	1	e0403		MP1 T1
L04	Inpatient Pharmacy Department	Inpatient Pharmacy Department	AHU-L4-PD-01	AHU Room	5	e0404		IPD T5
L04	Inpatient Pharmacy Department	Inpatient Pharmacy Department	AHU-CDR-02	AHU Room	17	e0406	special case: referred to as Incomer AHU-CDR-1 & AHU-CDR-2 in device list	IPD T17
